id,debtor_code,retailers_group_name,retailers_name,company_name,branch,branch_code,business_registration_no,billing_address,delivery_address,credit_terms,sales_agent,bill_to,created_at,updated_at
1,300-MH15,MYDIN,MYDIN MOHAMED HOLDINGS SDN BHD,MYDIN MOHAMED HOLDINGS SDN BHD,MYDIN PUTRAJAYA,1024.0,199101011136,,"Mydin Putrajaya Bazaar No. 40-54, Jalan Diplomatik Presint 15, 62050 Putrajaya,Putrajaya,Malaysia",Net 60 days,,Manufacturing,,
2,300-M024,MYDIN,MYDIN TRI SHAAS SDN BHD,TRI SHAAS SDN BHD,MYDIN TAMAN KINRARA,5532.0,200601008765,,"Mydin Mart Taman Kinrara No. 14 16, 18&20, Jln TK 4/5, Tmn Kinrara 4, 47100 Puchong, Selangor, Malaysia",Net 60 days,,Manufacturing,,
3,300-M040,MYDIN,MYDIN TRI SHAAS SDN BHD,MYDIN TRI SHAAS SDN BHD,MyDin Seksyen 13 Shah Alam,5539.0,200601008765,,"Mydin Mart Seksyen 13 Unit 9 Lot 1715, No.7,Jalan Rugbi Seksyen 13,,40100 Shah Alam,Selangor,Malaysia |",Net 60 days,CEN-001 AZIZ,Manufacturing,,
4,300-MH23,MYDIN,MYDIN MOHAMED HOLDINGS BHD,MYDIN MOHAMED HOLDINGS BHD,MyDin Tengku Kelana Emporium Klang,1010.0,199101011136,,"Mydin Tengku Kelana Emporium No. 111 Blok 1 Jln.Tengku Kelana,41000 Klang,Selangor,Malaysia",Net 60 days,CEN-001 AZIZ,Manufacturing,,
5,300-MT02,MYDIN,MYDIN TRI SHAAS SDN BHD,MYDIN TRI SHAAS SDN BHD,Mydin Shah Alam Jalan Pinang G,5504.0,200601008765,,"Mydin Mart Shah Alam No.4-16 Jalan Pinang G 18/G,40200 Shah Alam,Selangor,Malaysia",Net 60 days,CEN-001 AZIZ,Manufacturing,,
6,300-M022,MYDIN,MYDIN TRI SHAAS SDN BHD,MYDIN TRI SHAAS SDN BHD,Mydin Taman Bukit Kuda Klang,5531.0,200601008765,,"Mydin Mart Bukit Kuda No 36 & 38 Jln Bukit Kuda I/KUI Taman Bukit Kuda,41300 Klang,Selangor,Malaysia",Net 60 days,CEN-001 AZIZ,Manufacturing,,
7,300-M025,MYDIN,MYDIN TRI SHAAS SDN BHD,TRI SHAAS SDN BHD,Mydin Mart Desa Latania,5533.0,200601008765,,"Mydin Mart Desa Latania No. 16 & 18 JIn Nagasari E36/E Desa Latania,Seksyen 36,40460 Shah
Alam,Selangor,Malaysia",Net 60 days,CEN-001 AZIZ,Manufacturing,,
8,300-MH17,MYDIN,MYDIN MOHAMED HOLDINGS BHD,MYDIN MOHAMED HOLDINGS BHD,Mydin Semenyih Hypermarket,1051.0,199101011136,,"Mydin Semenyih Hypermarket Lot 21452 Jalan Anggerik Perdana 1 Taman Anggerik Perdana,43500
Semenyih,Selangor,Malaysia",Net 60 days,CEN-002 NAZH,Manufacturing,,
9,300-MH18,MYDIN,MYDIN MOHAMED HOLDINGS BHD,MYDIN MOHAMED HOLDINGS BHD,Mydin Senawang Hypermarket,1063.0,199101011136,,"Mydin Senawang Hypermarket No 110 Jalan BPS 7, Bandar Prima Senawang,,,70450 Seremban,Negeri
Sembilan,Malaysia",Net 60 days,CEN-002 NAZH,Manufacturing,,
10,300-MH19,MYDIN,MYDIN MOHAMED HOLDINGS BHD,MYDIN MOHAMED HOLDINGS BHD,Mydin Seremban 2 Hypermarket,1049.0,199101011136,,"Mydin Seremban 2 Hypermarket Lot 31156 Persiaran S2 B7 Seremban 2,70300 Seremban,Negeri
Sembilan,Malaysia",Net 60 days,CEN-002 NAZH,Manufacturing,,
